PONTOS,Indice,DATA,HORARIO,NOME DA EMBARCACAO,COMPRIMENTO DO TRECHO,DURACAO DO TRECHO,VELOCIDADE,PERCURSO DO TRECHO,LATITUDE,LOGITUDE,MARE,TRAJETO
1,1,2013-06-10,12:51:34,MONIQUE,0.003,00:00:01,7.0,330.7° ,-11.113583333333333,-36.9976,1,1.0
2,2,2013-06-10,12:51:35,MONIQUE,0.011,00:00:01,5.0,345.4° ,-11.113566666666667,-36.997616666666666,1,1.0
3,3,2013-06-10,12:51:36,MONIQUE,0.001,00:00:01,2.2,9.4° ,-11.11355,-36.997616666666666,1,1.0
4,4,2013-06-10,12:51:37,MONIQUE,0.001,00:00:03,1.7,323.3° ,-11.11355,-36.997616666666666,1,1.0
5,5,2013-06-10,12:51:40,MONIQUE,0.001,00:00:04,4.2,339.0° ,-11.113533333333333,-36.997616666666666,1,1.0
6,6,2013-06-10,12:51:44,MONIQUE,0.005,00:00:06,3.7,326.6° ,-11.1135,-36.99763333333333,1,1.0
7,7,2013-06-10,12:51:50,MONIQUE,0.001,00:00:02,4.5,344.4° ,-11.11345,-36.99766666666667,1,1.0
8,8,2013-06-10,12:51:52,MONIQUE,0.002,00:00:05,3.0,340.1° ,-11.113433333333333,-36.99766666666667,1,1.0
9,9,2013-06-10,12:51:57,MONIQUE,0.001,00:00:02,6.0,322.4° ,-11.113383333333333,-36.997683333333335,1,1.0
10,10,2013-06-10,12:51:59,MONIQUE,0.003,00:00:01,4.3,347.6° ,-11.113366666666666,-36.9977,1,1.0
11,11,2013-06-10,12:52:00,MONIQUE,0.003,00:00:01,3.4,8.9° ,-11.11335,-36.9977,1,1.0
12,12,2013-06-10,12:52:01,MONIQUE,0.001,00:00:01,2.6,357.8° ,-11.11335,-36.9977,1,1.0
13,13,2013-06-10,12:52:02,MONIQUE,0.001,00:00:04,3.0,328.6° ,-11.11335,-36.9977,1,1.0
14,14,2013-06-10,12:52:06,MONIQUE,0.002,00:00:02,4.3,334.1° ,-11.113316666666666,-36.99771666666667,1,1.0
15,15,2013-06-10,12:52:08,MONIQUE,0.001,00:00:04,3.5,352.8° ,-11.1133,-36.997733333333336,1,1.0
16,16,2013-06-10,12:52:12,MONIQUE,0.001,00:00:05,3.6,332.5° ,-11.113266666666666,-36.997733333333336,1,1.0
17,17,2013-06-10,12:52:17,MONIQUE,0.001,00:00:03,3.7,353.3° ,-11.113216666666666,-36.99775,1,1.0
18,18,2013-06-10,12:52:20,MONIQUE,0.001,00:00:03,3.3,325.6° ,-11.1132,-36.997766666666664,1,1.0
19,19,2013-06-10,12:52:23,MONIQUE,0.004,00:00:12,3.4,341.3° ,-11.113166666666666,-36.997766666666664,1,1.0
20,20,2013-06-10,12:52:35,MONIQUE,0.001,00:00:01,2.0,328.4° ,-11.113083333333334,-36.9978,1,1.0
21,21,2013-06-10,12:52:36,MONIQUE,0.001,00:00:01,3.2,318.9° ,-11.113083333333334,-36.997816666666665,1,1.0
22,22,2013-06-10,12:52:37,MONIQUE,0.001,00:00:01,4.3,336.6° ,-11.113066666666667,-36.997816666666665,1,1.0
23,23,2013-06-10,12:52:38,MONIQUE,0.001,00:00:05,3.9,348.1° ,-11.113066666666667,-36.997816666666665,1,1.0
24,24,2013-06-10,12:52:43,MONIQUE,0.001,00:00:01,2.1,343.3° ,-11.113016666666667,-36.99783333333333,1,1.0
25,25,2013-06-10,12:52:44,MONIQUE,0.001,00:00:02,3.0,345.4° ,-11.113,-36.99783333333333,1,1.0
26,26,2013-06-10,12:52:46,MONIQUE,0.001,00:00:01,3.4,342.4° ,-11.113,-36.99783333333333,1,1.0
27,27,2013-06-10,12:52:47,MONIQUE,0.002,00:00:03,3.4,358.0° ,-11.112983333333334,-36.99783333333333,1,1.0
28,28,2013-06-10,12:52:50,MONIQUE,0.004,00:00:04,2.7,353.9° ,-11.112966666666667,-36.99783333333333,1,1.0
29,29,2013-06-10,12:52:54,MONIQUE,0.001,00:00:01,4.1,330.4° ,-11.112933333333334,-36.99783333333333,1,1.0
30,30,2013-06-10,12:52:55,MONIQUE,0.003,00:00:01,3.7,332.7° ,-11.112916666666667,-36.99785,1,1.0
31,31,2013-06-10,12:52:56,MONIQUE,0.001,00:00:02,3.4,0.0° ,-11.112916666666667,-36.99785,1,1.0
32,32,2013-06-10,12:52:58,MONIQUE,0.003,00:00:01,2.7,43.0° ,-11.1129,-36.99785,1,1.0
33,33,2013-06-10,12:52:59,MONIQUE,0.001,00:00:01,2.6,23.2° ,-11.1129,-36.99785,1,1.0
34,34,2013-06-10,12:53:00,MONIQUE,0.002,00:00:01,3.9,3.9° ,-11.112883333333333,-36.99785,1,1.0
35,35,2013-06-10,12:53:01,MONIQUE,0.005,00:00:01,5.0,4.3° ,-11.112883333333333,-36.99785,1,1.0
36,36,2013-06-10,12:53:02,MONIQUE,0.003,00:00:04,3.3,354.9° ,-11.112866666666667,-36.99785,1,1.0
37,37,2013-06-10,12:53:06,MONIQUE,0.004,00:00:01,2.4,33.2° ,-11.112833333333333,-36.99785,1,1.0
38,38,2013-06-10,12:53:07,MONIQUE,0.001,00:00:01,3.6,12.0° ,-11.112833333333333,-36.99783333333333,1,1.0
39,39,2013-06-10,12:53:08,MONIQUE,0.002,00:00:01,5.0,7.1° ,-11.112816666666667,-36.99783333333333,1,1.0
40,40,2013-06-10,12:53:09,MONIQUE,0.001,00:00:01,5.0,5.0° ,-11.1128,-36.99783333333333,1,1.0
41,41,2013-06-10,12:53:10,MONIQUE,0.006,00:00:02,2.5,26.5° ,-11.1128,-36.99783333333333,1,1.0
42,42,2013-06-10,12:53:12,MONIQUE,0.003,00:00:02,2.6,15.1° ,-11.112783333333333,-36.99783333333333,1,1.0
43,43,2013-06-10,12:53:14,MONIQUE,0.0,00:00:01,4.0,18.7° ,-11.112766666666667,-36.99783333333333,1,1.0
44,44,2013-06-10,12:53:15,MONIQUE,0.002,00:00:03,2.9,34.4° ,-11.112766666666667,-36.997816666666665,1,1.0
45,45,2013-06-10,12:53:18,MONIQUE,0.002,00:00:03,5.0,19.7° ,-11.11275,-36.997816666666665,1,1.0
46,46,2013-06-10,12:53:21,MONIQUE,0.003,00:00:01,4.0,4.2° ,-11.112716666666667,-36.9978,1,1.0
47,47,2013-06-10,12:53:22,MONIQUE,0.001,00:00:03,3.0,29.7° ,-11.1127,-36.9978,1,1.0
48,48,2013-06-10,12:53:25,MONIQUE,0.0,00:00:01,3.8,36.3° ,-11.112683333333333,-36.99778333333333,1,1.0
49,49,2013-06-10,12:53:26,MONIQUE,0.001,00:00:02,5.0,16.5° ,-11.112666666666666,-36.99778333333333,1,1.0
50,50,2013-06-10,12:53:28,MONIQUE,0.002,00:00:01,4.3,17.7° ,-11.11265,-36.99778333333333,1,1.0
51,51,2013-06-10,12:53:29,MONIQUE,0.002,00:00:02,2.8,34.4° ,-11.112633333333333,-36.997766666666664,1,1.0
52,52,2013-06-10,12:53:31,MONIQUE,0.001,00:00:05,3.8,29.0° ,-11.112633333333333,-36.997766666666664,1,1.0
53,53,2013-06-10,12:53:36,MONIQUE,0.0,00:00:03,3.4,18.8° ,-11.112583333333333,-36.997733333333336,1,1.0
54,54,2013-06-10,12:53:39,MONIQUE,0.0,00:00:04,3.5,21.1° ,-11.112566666666666,-36.997733333333336,1,1.0
55,55,2013-06-10,12:53:43,MONIQUE,0.001,00:00:01,3.4,38.8° ,-11.112533333333333,-36.99771666666667,1,1.0
56,56,2013-06-10,12:53:44,MONIQUE,0.004,00:00:03,2.9,8.2° ,-11.112516666666666,-36.99771666666667,1,1.0
57,57,2013-06-10,12:53:47,MONIQUE,0.001,00:00:01,4.0,357.2° ,-11.1125,-36.99771666666667,1,1.0
58,58,2013-06-10,12:53:48,MONIQUE,0.002,00:00:06,3.4,12.3° ,-11.1125,-36.99771666666667,1,1.0
59,59,2013-06-10,12:53:54,MONIQUE,0.001,00:00:03,3.9,356.1° ,-11.11245,-36.9977,1,1.0
60,60,2013-06-10,12:53:57,MONIQUE,0.005,00:00:01,0.0,0.0° ,-11.112416666666666,-36.9977,1,1.0
61,61,2013-06-10,12:53:58,MONIQUE,0.001,00:00:03,3.0,353.9° ,-11.112416666666666,-36.9977,1,1.0
62,62,2013-06-10,12:54:01,MONIQUE,0.001,00:00:01,6.0,343.6° ,-11.1124,-36.9977,1,1.0
63,63,2013-06-10,12:54:02,MONIQUE,0.001,00:00:03,3.2,345.9° ,-11.112383333333334,-36.99771666666667,1,1.0
64,64,2013-06-10,12:54:05,MONIQUE,0.003,00:00:01,2.0,69.4° ,-11.11235,-36.99771666666667,1,1.0
65,65,2013-06-10,12:54:06,MONIQUE,0.001,00:00:01,1.4,75.7° ,-11.11235,-36.99771666666667,1,1.0
66,66,2013-06-10,12:54:07,MONIQUE,0.001,00:00:01,3.0,343.7° ,-11.11235,-36.9977,1,1.0
67,67,2013-06-10,12:54:08,MONIQUE,0.001,00:00:01,7.0,330.5° ,-11.11235,-36.99771666666667,1,1.0
68,68,2013-06-10,12:54:09,MONIQUE,0.002,00:00:01,8.0,328.3° ,-11.112333333333334,-36.99771666666667,1,1.0
69,69,2013-06-10,12:54:10,MONIQUE,0.005,00:00:01,5.0,337.7° ,-11.112316666666667,-36.997733333333336,1,1.0
70,70,2013-06-10,12:54:11,MONIQUE,0.001,00:00:02,0.3,173.4° ,-11.1123,-36.997733333333336,1,1.0
71,71,2013-06-10,12:54:13,MONIQUE,0.001,00:00:01,0.0,0.0° ,-11.1123,-36.997733333333336,1,1.0
72,72,2013-06-10,12:54:14,MONIQUE,0.005,00:00:01,4.3,0.4° ,-11.1123,-36.997733333333336,1,1.0
73,73,2013-06-10,12:54:15,MONIQUE,0.001,00:00:04,3.6,344.8° ,-11.112283333333334,-36.997733333333336,1,1.0
74,74,2013-06-10,12:54:19,MONIQUE,0.001,00:00:01,5.0,323.0° ,-11.11225,-36.99775,1,1.0
75,75,2013-06-10,12:54:20,MONIQUE,0.001,00:00:03,2.9,344.9° ,-11.11225,-36.99775,1,1.0
76,76,2013-06-10,12:54:23,MONIQUE,0.004,00:00:02,1.6,309.4° ,-11.112216666666667,-36.99775,1,1.0
77,77,2013-06-10,12:54:25,MONIQUE,0.002,00:00:04,4.5,331.3° ,-11.112216666666667,-36.997766666666664,1,1.0
78,78,2013-06-10,12:54:29,MONIQUE,0.0,00:00:01,2.3,29.5° ,-11.112183333333334,-36.99778333333333,1,1.0
79,79,2013-06-10,12:54:30,MONIQUE,0.0,00:00:01,2.1,20.1° ,-11.112166666666667,-36.99778333333333,1,1.0
80,80,2013-06-10,12:54:31,MONIQUE,0.007,00:00:01,2.2,341.1° ,-11.112166666666667,-36.99778333333333,1,1.0
81,81,2013-06-10,12:54:32,MONIQUE,0.002,00:00:02,5.0,320.7° ,-11.112166666666667,-36.99778333333333,1,1.0
82,82,2013-06-10,12:54:34,MONIQUE,0.001,00:00:01,5.0,358.8° ,-11.11215,-36.9978,1,1.0
83,83,2013-06-10,12:54:35,MONIQUE,0.001,00:00:01,3.1,358.1° ,-11.112133333333333,-36.9978,1,1.0
84,84,2013-06-10,12:54:36,MONIQUE,0.001,00:00:02,2.6,22.2° ,-11.112116666666667,-36.9978,1,1.0
85,85,2013-06-10,12:54:38,MONIQUE,0.003,00:00:03,2.6,357.1° ,-11.112116666666667,-36.9978,1,1.0
86,86,2013-06-10,12:54:41,MONIQUE,0.001,00:00:04,4.1,345.5° ,-11.1121,-36.9978,1,1.0
87,87,2013-06-10,12:54:45,MONIQUE,0.001,00:00:01,2.2,9.3° ,-11.11205,-36.9978,1,1.0
88,88,2013-06-10,12:54:46,MONIQUE,0.001,00:00:01,2.1,345.3° ,-11.11205,-36.9978,1,1.0
89,89,2013-06-10,12:54:47,MONIQUE,0.002,00:00:05,3.9,356.6° ,-11.11205,-36.9978,1,1.0
90,90,2013-06-10,12:54:52,MONIQUE,0.004,00:00:01,2.4,331.0° ,-11.112,-36.997816666666665,1,1.0
91,91,2013-06-10,12:54:53,MONIQUE,0.001,00:00:02,1.3,0.0° ,-11.111983333333333,-36.997816666666665,1,1.0
92,92,2013-06-10,12:54:55,MONIQUE,0.001,00:00:01,2.5,14.3° ,-11.111983333333333,-36.997816666666665,1,1.0
93,93,2013-06-10,12:54:56,MONIQUE,0.004,00:00:03,4.3,9.0° ,-11.111983333333333,-36.997816666666665,1,1.0
94,94,2013-06-10,12:54:59,MONIQUE,0.002,00:00:02,4.0,322.2° ,-11.11195,-36.9978,1,1.0
95,95,2013-06-10,12:55:01,MONIQUE,0.004,00:00:01,1.7,301.1° ,-11.111933333333333,-36.997816666666665,1,1.0
96,96,2013-06-10,12:55:02,MONIQUE,0.003,00:00:01,0.0,0.0° ,-11.111933333333333,-36.997816666666665,1,1.0
97,97,2013-06-10,12:55:03,MONIQUE,0.003,00:00:08,3.2,9.3° ,-11.111933333333333,-36.997816666666665,1,1.0
98,98,2013-06-10,12:55:11,MONIQUE,0.002,00:00:01,6.0,343.1° ,-11.111866666666666,-36.997816666666665,1,1.0
99,99,2013-06-10,12:55:12,MONIQUE,0.001,00:00:01,4.0,4.8° ,-11.11185,-36.997816666666665,1,1.0
100,100,2013-06-10,12:55:13,MONIQUE,0.001,00:00:01,2.5,45.5° ,-11.111833333333333,-36.997816666666665,1,1.0
101,101,2013-06-10,12:55:14,MONIQUE,0.001,00:00:01,3.1,65.5° ,-11.111833333333333,-36.997816666666665,1,1.0
102,102,2013-06-10,12:55:15,MONIQUE,0.003,00:00:04,2.7,16.0° ,-11.111833333333333,-36.9978,1,1.0
103,103,2013-06-10,12:55:19,MONIQUE,0.001,00:00:01,5.0,345.2° ,-11.1118,-36.9978,1,1.0
104,104,2013-06-10,12:55:20,MONIQUE,0.001,00:00:01,5.0,23.9° ,-11.1118,-36.9978,1,1.0
105,105,2013-06-10,12:55:21,MONIQUE,0.004,00:00:01,4.1,40.9° ,-11.111783333333333,-36.9978,1,1.0
106,106,2013-06-10,12:55:22,MONIQUE,0.001,00:00:02,3.0,38.2° ,-11.111783333333333,-36.99778333333333,1,1.0
107,107,2013-06-10,12:55:24,MONIQUE,0.001,00:00:04,3.2,18.3° ,-11.111766666666666,-36.99778333333333,1,1.0
108,108,2013-06-10,12:55:28,MONIQUE,0.003,00:00:01,5.0,0.4° ,-11.111733333333333,-36.997766666666664,1,1.0
109,109,2013-06-10,12:55:29,MONIQUE,0.001,00:00:01,5.0,30.9° ,-11.111716666666666,-36.997766666666664,1,1.0
110,110,2013-06-10,12:55:30,MONIQUE,0.003,00:00:05,3.2,42.5° ,-11.111716666666666,-36.997766666666664,1,1.0
111,111,2013-06-10,12:55:35,MONIQUE,0.001,00:00:02,3.9,44.5° ,-11.111683333333334,-36.997733333333336,1,1.0
112,112,2013-06-10,12:55:37,MONIQUE,0.001,00:00:04,3.6,39.1° ,-11.111666666666666,-36.99771666666667,1,1.0
113,113,2013-06-10,12:55:41,MONIQUE,0.002,00:00:02,5.0,61.2° ,-11.111633333333334,-36.9977,1,1.0
114,114,2013-06-10,12:55:43,MONIQUE,0.013,00:00:02,5.0,62.7° ,-11.111633333333334,-36.997683333333335,1,1.0
115,115,2013-06-10,12:55:45,MONIQUE,0.001,00:00:02,4.0,15.4° ,-11.111616666666666,-36.99765,1,1.0
116,116,2013-06-10,12:55:47,MONIQUE,0.003,00:00:01,4.5,22.1° ,-11.1116,-36.99765,1,1.0
117,117,2013-06-10,12:55:48,MONIQUE,0.001,00:00:01,4.5,43.9° ,-11.111583333333334,-36.99765,1,1.0
118,118,2013-06-10,12:55:49,MONIQUE,0.001,00:00:01,3.9,55.3° ,-11.111583333333334,-36.99763333333333,1,1.0
119,119,2013-06-10,12:55:50,MONIQUE,0.002,00:00:04,2.8,44.2° ,-11.111566666666667,-36.99763333333333,1,1.0
120,120,2013-06-10,12:55:54,MONIQUE,0.001,00:00:01,3.2,61.1° ,-11.11155,-36.997616666666666,1,1.0
121,121,2013-06-10,12:55:55,MONIQUE,0.001,00:00:02,2.3,18.8° ,-11.11155,-36.9976,1,1.0
122,122,2013-06-10,12:55:57,MONIQUE,0.003,00:00:04,3.5,25.3° ,-11.111533333333334,-36.9976,1,1.0
123,123,2013-06-10,12:56:01,MONIQUE,0.001,00:00:01,2.1,47.7° ,-11.1115,-36.99758333333333,1,1.0
124,124,2013-06-10,12:56:02,MONIQUE,0.002,00:00:01,2.9,52.3° ,-11.1115,-36.99758333333333,1,1.0
125,125,2013-06-10,12:56:03,MONIQUE,0.001,00:00:03,3.2,31.9° ,-11.1115,-36.997566666666664,1,1.0
126,126,2013-06-10,12:56:06,MONIQUE,0.001,00:00:01,3.4,356.7° ,-11.111483333333334,-36.997566666666664,1,1.0
127,127,2013-06-10,12:56:07,MONIQUE,0.002,00:00:03,3.5,18.0° ,-11.111466666666667,-36.997566666666664,1,1.0
128,128,2013-06-10,12:56:10,MONIQUE,0.007,00:00:01,3.8,55.5° ,-11.11145,-36.99755,1,1.0
129,129,2013-06-10,12:56:11,MONIQUE,0.003,00:00:01,3.6,47.8° ,-11.111433333333334,-36.99755,1,1.0
130,130,2013-06-10,12:56:12,MONIQUE,0.001,00:00:02,3.7,358.7° ,-11.111433333333334,-36.99753333333334,1,1.0
131,131,2013-06-10,12:56:14,MONIQUE,0.002,00:00:14,3.4,11.3° ,-11.111416666666667,-36.99753333333334,1,1.0
132,132,2013-06-10,12:56:28,MONIQUE,0.002,00:00:01,3.3,41.1° ,-11.1113,-36.99751666666667,1,1.0
133,133,2013-06-10,12:56:29,MONIQUE,0.001,00:00:03,3.0,357.5° ,-11.1113,-36.99751666666667,1,1.0
134,134,2013-06-10,12:56:32,MONIQUE,0.0,00:00:01,5.0,0.0° ,-11.111266666666667,-36.99751666666667,1,1.0
135,135,2013-06-10,12:56:33,MONIQUE,0.001,00:00:02,2.5,356.5° ,-11.111266666666667,-36.99751666666667,1,1.0
136,136,2013-06-10,12:56:35,MONIQUE,0.003,00:00:02,3.9,33.5° ,-11.11125,-36.99751666666667,1,1.0
137,137,2013-06-10,12:56:37,MONIQUE,0.002,00:00:01,3.8,2.5° ,-11.111233333333333,-36.9975,1,1.0
138,138,2013-06-10,12:56:38,MONIQUE,0.0,00:00:01,4.0,340.2° ,-11.111216666666667,-36.9975,1,1.0
139,139,2013-06-10,12:56:39,MONIQUE,0.001,00:00:04,3.1,11.2° ,-11.111216666666667,-36.9975,1,1.0
140,140,2013-06-10,12:56:43,MONIQUE,0.006,00:00:01,3.9,24.8° ,-11.111183333333333,-36.9975,1,1.0
141,141,2013-06-10,12:56:44,MONIQUE,0.002,00:00:02,3.4,350.5° ,-11.111166666666668,-36.9975,1,1.0
142,142,2013-06-10,12:56:46,MONIQUE,0.001,00:00:01,3.1,358.1° ,-11.11115,-36.9975,1,1.0
143,143,2013-06-10,12:56:47,MONIQUE,0.003,00:00:01,4.1,13.0° ,-11.11115,-36.9975,1,1.0
144,144,2013-06-10,12:56:48,MONIQUE,0.001,00:00:02,3.5,10.7° ,-11.111133333333333,-36.9975,1,1.0
145,145,2013-06-10,12:56:50,MONIQUE,0.001,00:00:08,3.3,8.0° ,-11.111116666666666,-36.997483333333335,1,1.0
146,146,2013-06-10,12:56:58,MONIQUE,0.011,00:00:03,3.8,9.8° ,-11.11105,-36.997483333333335,1,1.0
147,147,2013-06-10,12:57:01,MONIQUE,0.001,00:00:02,2.4,25.6° ,-11.111033333333333,-36.997483333333335,1,1.0
148,148,2013-06-10,12:57:03,MONIQUE,0.0,00:00:01,6.0,340.0° ,-11.111016666666666,-36.99746666666667,1,1.0
149,149,2013-06-10,12:57:04,MONIQUE,0.001,00:00:02,4.4,356.5° ,-11.111,-36.99746666666667,1,1.0
150,150,2013-06-10,12:57:06,MONIQUE,0.003,00:00:01,1.9,9.0° ,-11.110983333333333,-36.997483333333335,1,1.0
151,151,2013-06-10,12:57:07,MONIQUE,0.002,00:00:01,1.4,344.9° ,-11.110983333333333,-36.997483333333335,1,1.0
152,152,2013-06-10,12:57:08,MONIQUE,0.007,00:00:02,2.7,0.0° ,-11.110983333333333,-36.997483333333335,1,1.0
153,153,2013-06-10,12:57:10,MONIQUE,0.001,00:00:02,5.0,338.1° ,-11.110966666666666,-36.997483333333335,1,1.0
154,154,2013-06-10,12:57:12,MONIQUE,0.003,00:00:02,3.6,15.6° ,-11.110933333333334,-36.997483333333335,1,1.0
155,155,2013-06-10,12:57:14,MONIQUE,0.005,00:00:01,1.5,357.5° ,-11.110916666666666,-36.997483333333335,1,1.0
156,156,2013-06-10,12:57:15,MONIQUE,0.001,00:00:01,2.8,347.5° ,-11.110916666666666,-36.997483333333335,1,1.0
157,157,2013-06-10,12:57:16,MONIQUE,0.003,00:00:06,3.5,346.5° ,-11.110916666666666,-36.997483333333335,1,1.0
158,158,2013-06-10,12:57:22,MONIQUE,0.003,00:00:03,2.6,28.2° ,-11.110866666666666,-36.9975,1,1.0
159,159,2013-06-10,12:57:25,MONIQUE,0.001,00:00:01,2.8,355.3° ,-11.11085,-36.997483333333335,1,1.0
160,160,2013-06-10,12:57:26,MONIQUE,0.001,00:00:02,5.0,338.5° ,-11.110833333333334,-36.997483333333335,1,1.0
161,161,2013-06-10,12:57:28,MONIQUE,0.001,00:00:01,3.7,344.8° ,-11.110816666666667,-36.9975,1,1.0
162,162,2013-06-10,12:57:29,MONIQUE,0.001,00:00:01,2.3,341.1° ,-11.1108,-36.9975,1,1.0
163,163,2013-06-10,12:57:30,MONIQUE,0.002,00:00:11,3.5,0.9° ,-11.1108,-36.9975,1,1.0
164,164,2013-06-10,12:57:41,MONIQUE,0.002,00:00:02,2.2,36.8° ,-11.1107,-36.9975,1,1.0
165,165,2013-06-10,12:57:43,MONIQUE,0.001,00:00:01,0.0,0.0° ,-11.1107,-36.997483333333335,1,1.0
166,166,2013-06-10,12:57:44,MONIQUE,0.006,00:00:01,3.4,343.3° ,-11.1107,-36.997483333333335,1,1.0
167,167,2013-06-10,12:57:45,MONIQUE,0.002,00:00:02,5.0,337.9° ,-11.110683333333334,-36.9975,1,1.0
168,168,2013-06-10,12:57:47,MONIQUE,0.002,00:00:02,4.2,1.4° ,-11.110666666666667,-36.9975,1,1.0
169,169,2013-06-10,12:57:49,MONIQUE,0.001,00:00:07,3.5,357.8° ,-11.11065,-36.9975,1,1.0
170,170,2013-06-10,12:57:56,MONIQUE,0.002,00:00:01,2.5,45.0° ,-11.110583333333333,-36.9975,1,1.0
171,171,2013-06-10,12:57:57,MONIQUE,0.002,00:00:04,2.6,353.1° ,-11.110583333333333,-36.9975,1,1.0
172,172,2013-06-10,12:58:01,MONIQUE,0.002,00:00:05,3.3,13.9° ,-11.11055,-36.9975,1,1.0
173,173,2013-06-10,12:58:06,MONIQUE,0.002,00:00:01,2.5,39.7° ,-11.110516666666667,-36.9975,1,1.0
174,174,2013-06-10,12:58:07,MONIQUE,0.004,00:00:03,3.3,8.4° ,-11.1105,-36.997483333333335,1,1.0
175,175,2013-06-10,12:58:10,MONIQUE,0.001,00:00:02,5.0,352.3° ,-11.110483333333333,-36.997483333333335,1,1.0
176,176,2013-06-10,12:58:12,MONIQUE,0.002,00:00:01,2.8,50.8° ,-11.11045,-36.997483333333335,1,1.0
177,177,2013-06-10,12:58:13,MONIQUE,0.002,00:00:01,2.0,17.2° ,-11.11045,-36.997483333333335,1,1.0
178,178,2013-06-10,12:58:14,MONIQUE,0.006,00:00:01,3.2,358.8° ,-11.11045,-36.997483333333335,1,1.0
179,179,2013-06-10,12:58:15,MONIQUE,0.001,00:00:01,3.4,7.8° ,-11.110433333333333,-36.997483333333335,1,1.0
180,180,2013-06-10,12:58:16,MONIQUE,0.007,00:00:02,3.1,17.3° ,-11.110433333333333,-36.997483333333335,1,1.0
181,181,2013-06-10,12:58:18,MONIQUE,0.001,00:00:03,2.6,15.0° ,-11.110416666666667,-36.997483333333335,1,1.0
182,182,2013-06-10,12:58:21,MONIQUE,0.001,00:00:01,2.7,355.8° ,-11.1104,-36.99746666666667,1,1.0
183,183,2013-06-10,12:58:22,MONIQUE,0.001,00:00:06,3.6,18.2° ,-11.1104,-36.99746666666667,1,1.0
184,184,2013-06-10,12:58:28,MONIQUE,0.001,00:00:02,3.3,22.5° ,-11.110333333333333,-36.99745,1,1.0
185,185,2013-06-10,12:58:30,MONIQUE,0.003,00:00:02,3.1,56.9° ,-11.110333333333333,-36.99745,1,1.0
186,186,2013-06-10,12:58:32,MONIQUE,0.001,00:00:01,4.4,347.0° ,-11.110316666666666,-36.99743333333333,1,1.0
187,187,2013-06-10,12:58:33,MONIQUE,0.001,00:00:01,6.0,337.1° ,-11.1103,-36.99743333333333,1,1.0
188,188,2013-06-10,12:58:34,MONIQUE,0.001,00:00:02,3.7,1.8° ,-11.1103,-36.99745,1,1.0
189,189,2013-06-10,12:58:36,MONIQUE,0.003,00:00:02,3.3,44.3° ,-11.110266666666666,-36.99745,1,1.0
190,190,2013-06-10,12:58:38,MONIQUE,0.001,00:00:02,3.5,22.3° ,-11.110266666666666,-36.99743333333333,1,1.0
191,191,2013-06-10,12:58:40,MONIQUE,0.001,00:00:04,3.5,358.5° ,-11.11025,-36.997416666666666,1,1.0
192,192,2013-06-10,12:58:44,MONIQUE,0.001,00:00:01,3.4,13.6° ,-11.110216666666666,-36.99743333333333,1,1.0
193,193,2013-06-10,12:58:45,MONIQUE,0.001,00:00:02,2.8,29.7° ,-11.1102,-36.997416666666666,1,1.0
194,194,2013-06-10,12:58:47,MONIQUE,0.002,00:00:03,2.6,4.9° ,-11.110183333333334,-36.997416666666666,1,1.0
195,195,2013-06-10,12:58:50,MONIQUE,0.002,00:00:06,3.5,6.7° ,-11.110166666666666,-36.997416666666666,1,1.0
196,196,2013-06-10,12:58:56,MONIQUE,0.001,00:00:01,2.6,4.4° ,-11.110116666666666,-36.9974,1,1.0
197,197,2013-06-10,12:58:57,MONIQUE,0.003,00:00:07,3.4,358.1° ,-11.110116666666666,-36.9974,1,1.0
198,198,2013-06-10,12:59:04,MONIQUE,0.001,00:00:01,2.9,36.5° ,-11.11005,-36.997416666666666,1,1.0
199,199,2013-06-10,12:59:05,MONIQUE,0.005,00:00:01,2.7,29.3° ,-11.11005,-36.9974,1,1.0
200,200,2013-06-10,12:59:06,MONIQUE,0.001,00:00:01,2.7,337.4° ,-11.11005,-36.9974,1,1.0
201,201,2013-06-10,12:59:07,MONIQUE,0.002,00:00:01,4.3,323.5° ,-11.110033333333334,-36.9974,1,1.0
202,202,2013-06-10,12:59:08,MONIQUE,0.003,00:00:03,3.7,4.5° ,-11.110033333333334,-36.997416666666666,1,1.0
203,203,2013-06-10,12:59:11,MONIQUE,0.002,00:00:01,3.2,26.1° ,-11.11,-36.997416666666666,1,1.0
204,204,2013-06-10,12:59:12,MONIQUE,0.002,00:00:01,3.3,357.7° ,-11.11,-36.9974,1,1.0
205,205,2013-06-10,12:59:13,MONIQUE,0.001,00:00:01,4.2,337.7° ,-11.109983333333334,-36.9974,1,1.0
206,206,2013-06-10,12:59:14,MONIQUE,0.002,00:00:04,3.0,0.2° ,-11.109983333333334,-36.997416666666666,1,1.0
207,207,2013-06-10,12:59:18,MONIQUE,0.001,00:00:01,3.4,58.7° ,-11.10995,-36.997416666666666,1,1.0
208,208,2013-06-10,12:59:19,MONIQUE,0.004,00:00:01,4.2,24.9° ,-11.109933333333334,-36.9974,1,1.0
209,209,2013-06-10,12:59:20,MONIQUE,0.001,00:00:01,5.0,358.9° ,-11.109933333333334,-36.9974,1,1.0
210,210,2013-06-10,12:59:21,MONIQUE,0.002,00:00:01,5.0,323.4° ,-11.109916666666667,-36.9974,1,1.0
211,211,2013-06-10,12:59:22,MONIQUE,0.002,00:00:02,3.8,315.7° ,-11.109916666666667,-36.9974,1,1.0
